year,MONTHCODE,Median_oneYear_ahead_uncertainty_inflation,Median_threeYear_ahead_uncertainty_inflation
2017,1,2.64,2.94
2017,2,2.56,2.71
2017,3,2.52,2.82
2017,4,2.22,2.41
2017,5,2.22,2.38
2017,6,2.34,2.68
2017,7,2.22,2.6
2017,8,2.17,2.34
2017,9,2.17,2.34
2017,10,2.43,2.41
2017,11,2.21,2.24
2017,12,2.34,2.54
2018,1,2.23,2.34
2018,2,2.06,2.24
2018,3,2.18,2.34
2018,4,2.33,2.56
2018,5,2.52,2.52
2018,6,2.34,2.62
2018,7,2.34,2.47
2018,8,2.26,2.45
2018,9,2.18,2.43
2018,10,2.17,2.34
2018,11,2.34,2.41
2018,12,2.34,2.38
2019,1,2.29,2.36
2019,2,2.17,2.23
2019,3,2.34,2.34
2019,4,2.02,2.23
2019,5,2.15,2.29
2019,6,2.29,2.3
2019,7,2.12,2.18
2019,8,2.1,2.16
2019,9,2.19,2.18
2019,10,2.25,2.24
2019,11,2.08,2.18
2019,12,2.23,2.17
2020,1,2,2.07
2020,2,2.1,2.21
2020,3,3.16,2.64
2020,4,3.27,3.07
2020,5,3.69,3.03
2020,6,2.77,2.76
2020,7,3.09,2.79
2020,8,3.2,2.9
2020,9,3.09,3.14
2020,10,2.99,2.76
2020,11,2.97,3.09
2020,12,3.16,3.19