Ast_var,term,estimate,std.error,statistic,p.value
TVAL_BANK_proportion,(Intercept),0.239285402,0.00074018,323.2798104,0
TVAL_BANK_proportion,EJB1_UNION,-0.069750539,0.002107647,-33.09402764,1.25E-239
TVAL_STMF_proportion,(Intercept),0.033765096,0.000265026,127.4030038,0
TVAL_STMF_proportion,EJB1_UNION,-0.006024376,0.000754655,-7.982950552,1.43E-15
TVAL_BOND_proportion,(Intercept),0.003449474,8.94E-05,38.57749622,0
TVAL_BOND_proportion,EJB1_UNION,-0.000893831,0.000254612,-3.510559796,0.000447245
TVAL_RENT_proportion,(Intercept),0.015463641,0.000193833,79.77826477,0
TVAL_RENT_proportion,EJB1_UNION,0.001239619,0.000551934,2.24595361,0.024707876
TVAL_RE_proportion,(Intercept),0.012523894,0.00017088,73.29045632,0
TVAL_RE_proportion,EJB1_UNION,0.001890013,0.000486578,3.884296841,0.000102654
TVAL_OTH_proportion,(Intercept),0.019075659,0.000210941,90.43140683,0
TVAL_OTH_proportion,EJB1_UNION,0.007033448,0.000600649,11.70975158,1.16E-31
TVAL_RET_proportion,(Intercept),0.204605095,0.000603141,339.2323885,0
TVAL_RET_proportion,EJB1_UNION,0.016527612,0.001717432,9.623446956,6.42E-22
TVAL_BUS_proportion,(Intercept),0.00487505,0.000115785,42.10435632,0
TVAL_BUS_proportion,EJB1_UNION,-0.001665891,0.000329695,-5.052823671,4.36E-07
TVAL_HOME_proportion,(Intercept),0.304136361,0.00077174,394.0916053,0
TVAL_HOME_proportion,EJB1_UNION,0.08231581,0.002197513,37.45861983,3.29E-306
TVAL_VEH_proportion,(Intercept),0.159375156,0.000593032,268.7464754,0
TVAL_VEH_proportion,EJB1_UNION,-0.02997561,0.001688644,-17.75128759,1.87E-70
TVAL_ESAV_proportion,(Intercept),0.003445171,8.35E-05,41.25882041,0
TVAL_ESAV_proportion,EJB1_UNION,-0.000696254,0.000237769,-2.928285461,0.003408686