year,MONTHCODE,h_1,h_3,h_12
2017,1,0.72336984,0.796803,0.928259965
2017,2,0.697143953,0.775638219,0.921289434
2017,3,0.680238771,0.761198564,0.915480584
2017,4,0.672369723,0.754224303,0.912345584
2017,5,0.67544362,0.755913717,0.911880347
2017,6,0.675947112,0.756470374,0.911969811
2017,7,0.679466013,0.759111784,0.912590444
2017,8,0.693060218,0.769955024,0.915958003
2017,9,0.71073369,0.783916692,0.920578496
2017,10,0.705800038,0.781945013,0.922301143
2017,11,0.709695711,0.786716269,0.925973207
2017,12,0.717654167,0.79429302,0.930192815
2018,1,0.738679572,0.812199259,0.937650266
2018,2,0.760352035,0.829891596,0.94401826
2018,3,0.756507382,0.827406683,0.94408114
2018,4,0.766253654,0.835493838,0.947115324
2018,5,0.789363847,0.853741779,0.952999886
2018,6,0.803320936,0.865664926,0.957975126
2018,7,0.835900008,0.89163703,0.967005054
2018,8,0.884901627,0.929768245,0.979224885
2018,9,0.949578679,0.979451145,0.994388316
2018,10,1.043153937,1.049087656,1.014634061
2018,11,1.075247852,1.074390471,1.023612141
2018,12,1.145479089,1.125196782,1.037994067
2019,1,1.125862754,1.112922196,1.036231657
2019,2,1.064226576,1.069787611,1.026051857
2019,3,1.039823805,1.05192774,1.021496034
2019,4,1.038827532,1.051608117,1.022007385
2019,5,1.065204971,1.070425319,1.027080208
2019,6,1.048714984,1.058947767,1.024546108
2019,7,1.018249606,1.037027918,1.019126445
2019,8,1.019408333,1.03730493,1.019171027
2019,9,1.005054693,1.028383342,1.018379918
2019,10,1.006858453,1.031244458,1.020937899
2019,11,1.038600174,1.055818633,1.029120948
2019,12,1.095305084,1.098121687,1.041801552
2020,1,1.188359342,1.165585743,1.060809111
2020,2,1.314282703,1.25413104,1.084494921
2020,3,1.449113621,1.344582628,1.107450241
2020,4,1.350088385,1.282596388,1.096892334
2020,5,1.223859253,1.197441892,1.077361367
2020,6,1.144412416,1.14138951,1.063173689
2020,7,1.10919783,1.115474847,1.055996042
2020,8,1.098167638,1.106096016,1.052353043
2020,9,1.103077088,1.107874381,1.051181141
2020,10,1.115044843,1.115992068,1.052798762
2020,11,1.159000316,1.146116401,1.059680666
2020,12,1.097399553,1.103126802,1.048979957
2021,1,1.071347357,1.08404439,1.043519514
2021,2,1.063215548,1.077454947,1.040972108
2021,3,1.010861218,1.040820718,1.032331958
2021,4,0.973937642,1.014323286,1.02614368
2021,5,0.947371018,0.994842484,1.021642556
2021,6,0.93597064,0.986475522,1.020068165
2021,7,0.93195782,0.983792382,1.019936198
2021,8,0.940313475,0.990984767,1.022721453
2021,9,0.972321397,1.015161241,1.029686262
2021,10,0.973952458,1.01796802,1.031717154
2021,11,0.989806285,1.030809657,1.036116523
2021,12,1.013890043,1.049735715,1.042532127