"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00289580233792005,0.00280766442599023,0.0415353583190964,32.8553544611514,1.01814989553924e-08,1,19941.1040752209,-39876.2081504418,-39854.2064967676,19.5170291127408,11313,11315,"AL"
2,0.00106690528634358,9.7067330310896e-05,0.0682433349776186,1.10008613264424,0.294493241615047,1,1307.24152585221,-2608.48305170442,-2593.6652898663,4.79686735193349,1030,1032,"AK"
4,0.000178083381492557,8.44846250219744e-05,0.0212374998823657,1.90262550708751,0.167813611343508,1,25995.6877495874,-51985.3754991748,-51963.5459914522,4.8179174281897,10682,10684,"AZ"
5,0.0011956307461806,0.00102541868598049,0.0710293872223395,7.02435975908795,0.0080624007659627,1,7195.99447290449,-14385.988945809,-14365.9561160705,29.6050801469944,5868,5870,"AR"
6,0.000592048464754341,0.00057687442240073,0.0518180928287716,39.017188100429,4.22647946611836e-10,1,101504.061325368,-203002.122650735,-202974.83656332,176.849712411154,65863,65865,"CA"
8,0.002426782928766,0.00233822782738369,0.0727689836055338,27.404213770704,1.68041988033556e-07,1,13538.6040173473,-27071.2080346946,-27049.2191345601,59.6518358431773,11265,11267,"CO"
9,0.00249359774309684,0.00235503594253339,0.0525693672836522,17.9962856498347,2.24109899930256e-05,1,10994.6456223806,-21983.2912447611,-21962.6453192084,19.8947127731687,7199,7201,"CT"
10,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,1391,1393,"DE"
11,0.00376899696048631,0.00272033274676042,0.0898074846167058,3.59409323895532,0.0582885162990775,1,944.574353748159,-1883.14870749632,-1868.57301239194,7.66211507852086,950,952,"DC"
12,7.09145588470747e-05,3.61235256388648e-05,0.0283009380336571,2.03829988096063,0.153391855246657,1,61681.2302060675,-123356.460412135,-123331.66196352,23.0199054527236,28741,28743,"FL"
13,0.000308970679725032,0.000251829151898697,0.0606328428000244,5.40711268106986,0.0200662370220193,1,24216.4988015215,-48426.997603043,-48403.6882488931,64.3175967470883,17495,17497,"GA"
15,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,2073,2075,"HI"
16,0.000823061185558637,0.000574447864131855,0.0818137816498578,3.3106077374895,0.068908398120755,1,4361.25618667517,-8716.51237335035,-8697.61451562965,26.9011558738916,4019,4021,"ID"
17,0.000226673233657807,0.000175228686638662,0.0405957664357308,4.40616638288786,0.0358220957728743,1,34697.2329740222,-69388.4659480444,-69364.8413011578,32.0275478511707,19434,19436,"IL"
18,0.000730099226650299,0.000650526850414224,0.0471917164892731,9.17528495672566,0.00245803671500749,1,20531.5555653302,-41057.1111306604,-41034.7963133403,27.967395685151,12558,12560,"IN"
19,0.00276285172758867,0.00263286774058757,0.0771517013508801,21.2553237620367,4.08498250528575e-06,1,8772.71299257818,-17539.4259851564,-17518.5892053439,45.6666978836852,7672,7674,"IA"
20,0.00173032902348095,0.00154264907029866,0.109081774335372,9.21957297059026,0.00240601236740625,1,4240.34156962816,-8474.68313925631,-8454.94488965252,63.2898953447615,5319,5321,"KS"
21,0.00410321241229893,0.00397841331611004,0.0618550164409999,32.8785426946283,1.01676086913013e-08,1,10888.6360508262,-21771.2721016523,-21750.3172687955,30.5318236101526,7980,7982,"KY"
22,0.00150520351935365,0.001383406154572,0.0319886218567485,12.3582601483296,0.00044141149380361,1,16593.1792020739,-33180.3584041478,-33159.322735848,8.38878326815459,8198,8200,"LA"
23,0.000911408048196428,0.000519762186984352,3.08772509597159e-07,2.3271228894797,0.127260630566196,1,34649.6079672813,-69293.2159345626,-69275.6808613109,2.43213520304149e-10,2551,2553,"ME"
24,0.000113125308590528,2.51613009639717e-05,0.0493676163747404,1.28604086651842,0.256802767768908,1,18072.2765645111,-36138.5531290221,-36116.5371921257,27.703215299333,11367,11369,"MD"
25,0.00318091301594765,0.00304975260976559,0.0464965490131064,24.2520826866841,8.62984352989772e-07,1,12540.0327542657,-25074.0655085314,-25053.2570085827,16.4306609329744,7600,7602,"MA"
26,0.000469318764228676,0.000414453758122768,0.0414616301843003,8.55406382938355,0.00345176660268002,1,32141.9604470224,-64277.9208940449,-64254.4900685324,31.3179585532179,18218,18220,"MI"
27,0.0109101701899576,0.0108199000585519,0.0439848131784015,120.861352698696,5.73625793625731e-28,1,18685.7918171025,-37365.583634205,-37343.6778852586,21.1981111507431,10957,10959,"MN"
28,0.000132018562516025,-1.03519317793399e-05,0.0183689674875616,0.927288783882328,0.335601579462362,1,18112.5323757824,-36219.0647515648,-36198.4930600822,2.36969340214452,7023,7025,"MS"
29,0.00125301660261454,0.00115725946134915,0.0673917726566145,13.085359337771,0.00029901871499196,1,13336.161045839,-26666.3220916781,-26644.5641918256,47.3694201573825,10430,10432,"MO"
30,0.000171668934468231,-0.000346914224798267,0.0321925927938514,0.331034534000474,0.565117690571566,1,3893.96560778821,-7781.93121557642,-7765.23538973072,1.99810792336454,1928,1930,"MT"
31,0.000586681298559927,0.000264393869117252,0.0388043883511704,1.82036668192314,0.177368136682779,1,5680.36972411782,-11354.7394482356,-11336.6190742423,4.66942550201151,3101,3103,"NE"
32,0.00256027712434345,0.00239244274391692,0.0756638339075096,15.2547834230079,9.4980136715357e-05,1,6912.16049328465,-13818.3209865693,-13798.2500691419,34.023768671089,5943,5945,"NV"
33,0.000866048115856788,0.000550963299746909,0.0884028095561553,2.74861901169817,0.0974373792707931,1,3195.93524629904,-6385.87049259808,-6367.68319422333,24.7815449143647,3171,3173,"NH"
34,0.000277415693056096,0.000177062090937263,0.0583250776034066,2.764382017178,0.0964153609243438,1,14177.6258282373,-28349.2516564746,-28327.6314548454,33.8888778166911,9962,9964,"NJ"
35,0.000748279037128646,0.000497651567611834,0.055580615412303,2.98562259983615,0.08408440790125,1,5868.74844193399,-11731.496883868,-11712.6229963123,12.3166595759164,3987,3989,"NM"
36,1.417357323309e-06,-4.16618906258215e-05,0.0586016578258042,0.032901162178675,0.856065582325003,1,32921.1180594687,-65836.2361189374,-65812.078457236,79.7170237643365,23213,23215,"NY"
37,0.000145338553458303,8.58906278119465e-05,0.0344504697860983,2.44480445495816,0.117933392576625,1,32790.0763116705,-65574.1526233409,-65550.9614731865,19.9613756530134,16819,16821,"NC"
38,0.0014725631722099,0.00078344830897481,0.0991626778679308,2.13689074314353,0.144009899337845,1,1295.37254334889,-2584.74508669779,-2568.90506193913,14.2483599521296,1449,1451,"ND"
39,0.000148070230382531,9.75420350232126e-05,0.0370064889063035,2.93044763086534,0.0869390577344017,1,37161.1475745495,-74316.295149099,-74292.6163529832,27.0992746165588,19788,19790,"OH"
40,0.000493493479734947,0.000376633137571858,0.0640880015222965,4.22293372243038,0.0399114549756009,1,11366.8273504272,-22727.6547008544,-22706.4918872954,35.1294968953094,8553,8555,"OK"
41,0.00200180498584584,0.00188172338375037,0.0300081899910636,16.670372071293,4.48869911965128e-05,1,17353.1107574024,-34700.2215148048,-34679.1447873042,7.48398457841202,8311,8313,"OR"
42,0.000874948127346577,0.000834205760920192,0.0531158085147831,21.4751425626898,3.6028833231441e-06,1,37189.2912620279,-74372.5825240558,-74348.2601792025,69.1864729470143,24523,24525,"PA"
44,0.000588568194680262,-0.000112281336740017,0.0133846846180548,0.839792520781916,0.359611064475073,1,4134.64034260893,-8263.28068521786,-8247.48859478916,0.255467589595155,1426,1428,"RI"
45,0.00312593798496361,0.00301492751035171,0.0785690634913933,28.1589462245933,1.1441545520145e-07,1,10104.3014771263,-20202.6029542527,-20181.2940206917,55.4344176864731,8980,8982,"SC"
46,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,1650,1652,"SD"
47,0.000297432408594194,0.0002311479259266,0.038257183712069,4.48721022816367,0.0341656701446518,1,27823.2177444656,-55640.4354889312,-55617.5713193561,22.0741977763425,15082,15084,"TN"
48,0.000724342076079814,0.000701615253593135,0.0467344299888412,31.8716827440003,1.65713638110405e-08,1,72304.0804213603,-144602.160842721,-144576.086985907,96.0329983254657,43969,43971,"TX"
49,0.000144857130988708,-2.6380262891923e-05,0.0322308836677053,0.845943328766652,0.357740483630933,1,11775.8231982746,-23545.6463965493,-23525.6284246672,6.06572756422473,5839,5841,"UT"
50,0.000466497031382518,-0.000450506182350097,0.0281532004240656,0.508719080147641,0.475846554115637,1,2350.06294766741,-4694.12589533482,-4679.13859686591,0.86393693658819,1090,1092,"VT"
51,6.5315176746345e-05,7.74114019774785e-07,0.023000590005984,1.01199413190671,0.314441291194583,1,36465.3351851741,-72924.6703703481,-72901.7255523375,8.19621748967792,15493,15495,"VA"
53,0.000222171501748069,0.000158774049084931,0.0420586563912079,3.50442316552449,0.061223650072522,1,27598.081053613,-55190.162107226,-55167.164132741,27.8960352061293,15770,15772,"WA"
54,0.000762600598298074,0.000479128995630851,7.88740421270943e-06,2.69021867136905,0.101055181016955,1,36439.512811088,-72873.0256221759,-72854.5210133852,2.19294286881699e-07,3525,3527,"WV"
55,0.00166338614563672,0.00159268241944299,0.0465021664371628,23.5261454407769,1.24541923313771e-06,1,23292.6666669343,-46579.3333338686,-46556.6668664364,30.5338149448962,14120,14122,"WI"
56,0.0011068190776508,0.000267413043262277,0.0446170630620141,1.31857412540174,0.251078883443852,1,2016.31569288616,-4026.63138577232,-4011.38122222944,2.36891195637289,1190,1192,"WY"
