MONTHCODE,year,UMICH_Consumer_Index,,
1,2017,98.50,,
2,2017,96.30,,
3,2017,96.90,,
4,2017,97.00,,
5,2017,97.10,,
6,2017,95.00,,
7,2017,93.40,,
8,2017,96.80,,
9,2017,95.10,,
10,2017,100.70,,
11,2017,98.50,,
12,2017,95.90,,
1,2018,95.70,,
2,2018,99.70,,
3,2018,101.40,,
4,2018,98.80,,
5,2018,98.00,,
6,2018,98.20,,
7,2018,97.90,,
8,2018,96.20,,
9,2018,100.10,,
10,2018,98.60,,
11,2018,97.50,,
12,2018,98.30,,
1,2019,91.20,,
2,2019,93.80,,
3,2019,98.40,,
4,2019,97.20,,
5,2019,100.00,,
6,2019,98.20,,
7,2019,98.40,,
8,2019,89.80,,
9,2019,93.20,,
10,2019,95.50,,
11,2019,96.80,,
12,2019,99.30,,
1,2020,99.80,,
2,2020,101.00,,
3,2020,89.10,,
4,2020,71.80,,
5,2020,72.30,,
6,2020,78.10,,
7,2020,72.50,,
8,2020,74.10,,
9,2020,80.40,,
10,2020,81.80,,
11,2020,76.90,,
12,2020,80.70,,
1,2021,79.00,,
2,2021,76.80,,
3,2021,84.90,,
4,2021,88.30,,
5,2021,82.90,,
6,2021,85.50,,
7,2021,81.20,,
8,2021,70.30,,
9,2021,72.80,,
10,2021,71.70,,
11,2021,67.40,,
12,2021,70.60,,
,2022,67.20,,
,2022,62.80,,
,2022,59.40,,
,2022,65.20,,
,2022,58.40,,
,2022,50.00,,
,2022,51.50,,
,2022,58.20,,
,2022,58.60,,
,2022,59.90,,
,2022,56.80,,
,2022,59.70,,