year,MONTHCODE,Much_harder,Somewhat_harder,Equally_easy/hard,Somewhat_easier,Much_easier,Harder_side_ago,Easier_side_ago
2017,1,6.23,25.64,47.03,18.41,2.69,0.3187,0.211
2017,2,4.27,25.31,51.77,16.3,2.34,0.2958,0.1864
2017,3,5.33,25.21,48.29,18.59,2.58,0.3054,0.2117
2017,4,5.86,25.76,46.67,18.74,2.96,0.3162,0.217
2017,5,5.81,23.93,48.48,19.2,2.59,0.2974,0.2179
2017,6,5.8,25.85,45.53,19.97,2.86,0.3165,0.2283
2017,7,4.67,24.96,44.71,22.86,2.8,0.2963,0.2566
2017,8,4.88,25.49,44.59,21.51,3.53,0.3037,0.2504
2017,9,5.9,24.74,46.8,19.99,2.56,0.3064,0.2255
2017,10,6.15,22.26,49.27,19.67,2.66,0.2841,0.2233
2017,11,5.01,23.32,47.86,21.26,2.55,0.2833,0.2381
2017,12,6.55,20.43,49.85,20.29,2.88,0.2698,0.2317
2018,1,3.75,20.56,48.37,24.21,3.11,0.2431,0.2732
2018,2,4.15,20.54,49.93,22.02,3.37,0.2469,0.2539
2018,3,4.24,21.17,52.91,18.51,3.16,0.2541,0.2167
2018,4,4.34,22.88,50.73,19.04,3.01,0.2722,0.2205
2018,5,4.79,22.86,48.49,21.6,2.27,0.2765,0.2387
2018,6,6.02,21.94,48.47,20.54,3.04,0.2796,0.2358
2018,7,4.66,22.47,49.19,20.37,3.31,0.2713,0.2368
2018,8,4.89,23.3,47.71,21.1,2.98,0.2819,0.2408
2018,9,4.24,22.66,48.24,21.41,3.44,0.269,0.2485
2018,10,4.6,23.68,45.18,23.34,3.21,0.2828,0.2655
2018,11,4.73,24.28,44.95,22.82,3.22,0.2901,0.2604
2018,12,6.32,23.14,42.52,24.12,3.9,0.2946,0.2802
2019,1,5.46,26.01,44.06,21.17,3.31,0.3147,0.2448
2019,2,4.33,25.5,47.6,19.56,3.02,0.2983,0.2258
2019,3,4.8,24.08,47.41,20.01,3.7,0.2888,0.2371
2019,4,5.28,22.67,48.18,19.78,4.1,0.2795,0.2388
2019,5,5.3,23.15,46.76,21.3,3.49,0.2845,0.2479
2019,6,5,22.84,47.17,21.07,3.91,0.2784,0.2498
2019,7,6.17,21.51,48.23,20.51,3.57,0.2768,0.2408
2019,8,5.45,20.24,50.22,20.31,3.78,0.2569,0.2409
2019,9,6.21,19.45,49.24,21.27,3.84,0.2566,0.2511
2019,10,4.48,21.84,48.86,21.4,3.41,0.2632,0.2481
2019,11,7.06,18.95,47.03,23.08,3.88,0.2601,0.2696
2019,12,4.94,19.23,51.19,20.8,3.84,0.2417,0.2464
2020,1,4.98,18.84,50,21.53,4.65,0.2382,0.2618
2020,2,5.34,18.21,53.13,20.89,2.44,0.2355,0.2333
2020,3,8.12,24.02,43.8,20.03,4.04,0.3214,0.2407
2020,4,12.75,35.24,32.34,15.94,3.73,0.4799,0.1967
2020,5,11.72,37.9,32.84,14.76,2.79,0.4962,0.1755
2020,6,10.12,35.71,38.22,14.62,1.32,0.4583,0.1594
2020,7,10.52,36.29,36.41,14.5,2.28,0.4681,0.1678
2020,8,12.45,39.37,34.74,12.68,0.75,0.5182,0.1343
2020,9,10.34,39.18,37.27,11.79,1.41,0.4952,0.132
2020,10,13.89,35.94,36.71,12.56,0.9,0.4983,0.1346
2020,11,11.06,37.47,40.19,10.22,1.06,0.4853,0.1128
2020,12,10.95,36.92,42.1,9.12,0.91,0.4787,0.1003